,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,6954000.0,3474000.0,68056000.0,68355000.0,68466000.0,68056000.0,68056000.0,69552000.0,69258000.0,137350000.0,137647000.0,137986000.0,137647000.0,137647000.0,139083000.0,139647000.0,140253000.0,140707000.0,139083000.0,141133000.0,142918000.0,141133000.0,141133000.0,146232000.0,147616000.0,144650000.0,144650000.0,150459000.0,150459000.0,300013000.0,302378000.0,303487000.0
RetainedEarningsAccumulatedDeficit,,,,,,,,,,,,,37394000.0,51041000.0,21362000.0,21362000.0,12667000.0,9905000.0,7155000.0,7155000.0,-2206000.0,-3927000.0,-30962000.0,-40238000.0,-45215000.0,-37976000.0,-30958000.0,-30958000.0,-30958000.0,-30958000.0,14514000.0,14514000.0,14514000.0,14514000.0,14514000.0,25407000.0,25407000.0,25407000.0,35511000.0,35511000.0,35511000.0,35511000.0,11096000.0,-3271000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,1085000.0,1153000.0,1085000.0,656000.0,656000.0,669000.0,669000.0,702000.0,702000.0,702000.0,702000.0,-357000.0,-357000.0,-357000.0,-335000.0,-335000.0,-335000.0,-335000.0,-335000.0,-1203000.0,-1203000.0,-1203000.0,-1203000.0,-1210000.0,-1210000.0,-1210000.0,-1210000.0,-646000.0,-646000.0,-646000.0,-4587000.0,622000.0
TreasuryStockValue,,,,,,,,,,,,,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,141000.0,0.0,2008000.0,4017000.0,4017000.0
StockholdersEquity,,,,,,,,,,,,,105931000.0,59157000.0,44907000.0,90173000.0,90173000.0,90173000.0,44907000.0,70071000.0,90173000.0,77204000.0,90173000.0,97599000.0,106535000.0,106535000.0,106535000.0,107999000.0,107999000.0,107999000.0,77204000.0,107999000.0,107999000.0,154656000.0,107999000.0,154656000.0,169060000.0,169060000.0,169060000.0,169060000.0,169060000.0,169060000.0,185540000.0,289895000.0
LiabilitiesAndStockholdersEquity,,,,,,,,,,,,,458392000.0,458392000.0,346256000.0,343150000.0,346256000.0,335718000.0,329481000.0,324595000.0,380683000.0,387372000.0,329481000.0,,369397000.0,369397000.0,364573000.0,429465000.0,437283000.0,459025000.0,427256000.0,514295000.0,562488000.0,577432000.0,581514000.0,588963000.0,587480000.0,600082000.0,581514000.0,1112475000.0,600251000.0,600251000.0,1751460000.0,1751460000.0
DeferredTaxAssetsNetCurrent,,,,,,,,,,,,,3106000.0,3080000.0,2442000.0,2442000.0,2442000.0,2416000.0,2442000.0,3196000.0,3196000.0,3196000.0,1642000.0,1642000.0,1483000.0,1615000.0,,,,,,,,,,,,,,,,,,
DeferredFinanceCostsNoncurrentNet,,,,,,,,,,,,,8670000.0,8670000.0,8670000.0,5097000.0,4846000.0,4595000.0,4344000.0,4344000.0,3849000.0,3597000.0,3399000.0,3290000.0,5129000.0,5036000.0,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,7609000.0,5482000.0,,,,,,,,,0.0,1642000.0,1483000.0,1615000.0,,,,,,,,,,,,,,,,,,
RestrictedCashAndCashEquivalentsNoncurrent,,,,,,,,,,,,,,,0.0,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,0.0,,,,,,,,,,,,,,,,,,,,,
OffMarketLeaseFavorable,,,,,,,,,,,,,,,0.0,3287000.0,3130000.0,,,,2817000.0,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNetNoncurrent,,,,,,,,,,,,,,0.0,0.0,7506000.0,2222000.0,2222000.0,2222000.0,10614000.0,11930000.0,14498000.0,6824000.0,,,,,,,,,,,,,,,,,,,,,
BelowMarketLeaseNet,,,,,,,,,,,,,,,,,,-3052000.0,-3287000.0,-2974000.0,,,-4725000.0,,,,-5652000.0,,,,-5441000.0,,,,,,,,,,,,,
LongTermDebtAndCapitalLeaseObligationsCurrent,,,,,,,,,,,,,6553000.0,1047000.0,6553000.0,1062000.0,1062000.0,1116000.0,1062000.0,1033000.0,,,1147000.0,,,,1272000.0,,,,1435000.0,,,,1616000.0,,,,1808000.0,,,,,
LongTermDebtAndCapitalLeaseObligations,,,,,,,,,,,,,261966000.0,261966000.0,159233000.0,158975000.0,159233000.0,158390000.0,159233000.0,158753000.0,,,158189000.0,,,,202042000.0,,,,215108000.0,,,,278519000.0,,,,278519000.0,,,,,
OtherLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,,14870000.0,,,,14870000.0,,,,17115000.0,,,,17115000.0,,,,23810000.0,,,,27812000.0,,,,,
FiniteLivedIntangibleAssetOffMarketLeaseFavorableAccumulatedAmortization,,,,,,,,,,,,,,,,261000.0,340000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetOffMarketLeaseUnfavorableAccumulatedAmortization,,,,,,,,,,,,,,,,508000.0,943000.0,1161000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
RestrictedCashAndCashEquivalentsAtCarryingValue,,,,,,,,,,,,,20000000.0,20000000.0,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,,,,,301000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiniteLivedFranchiseAgreementsNet,,,,,,,,,,,,,14348000.0,5225000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
OperatingLeaseRightOfUseAsset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,785000000.0,0.0,811016000.0,811016000.0
LongTermDebtCurrentandFinanceLeaseLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969000.0,1948000.0,1948000.0,5866000.0,5866000.0
OperatingLeaseLiabilityCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,39715000.0,0.0,40805000.0,40880000.0
LongTermDebtNoncurrentandFinanceLeaseLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276823000.0,436541000.0,470098000.0,520806000.0,455565000.0
OperatingLeaseLiabilityNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518113000.0,0.0,0.0,808795000.0,808292000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2974000.0,2974000.0
RefundableIncomeTaxesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278000.0,284000.0
DeferredIncomeTaxLiabilitiesNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
DeferredTaxLiabilitiesNetOfValuationAllowanceNoncurrent,,,,,,,,,,,,,,,2234000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
